name	Quincy
health	2500
speed	12
type	enemy
shadow	6
blockodds   1
dust    dust
diesound data/sounds/qdie.wav
icon	data/chars/q/1.gif
iconpain     data/chars/q/2.gif
aggression 5
gfxshadow 1
lifebarstatus 220 5 0 1 0 0 0 0 0 
lifeposition 50 200
nameposition 60 190 
iconposition 50 360

remap	data/chars/q/wk05.gif  data/chars/q/map1.gif








anim idle
	loop	1
	offset	29 131
	bbox	10 10 35 108
	delay	8
                  sound       data/sounds/qidle.wav
	frame         data/chars/Q/idle00.gif
offset	30 132
	frame         data/chars/Q/idle01.gif
offset	33 132
	frame         data/chars/Q/idle02.gif
offset	38 133
	frame         data/chars/Q/idle03.gif
offset	36 133
	frame         data/chars/Q/idle04.gif
offset	34 134
	frame         data/chars/Q/idle05.gif
offset	34 134
	frame         data/chars/Q/idle06.gif
offset	33 133
	frame         data/chars/Q/idle07.gif
offset	31 133
	frame         data/chars/Q/idle08.gif
offset	30 133
	frame         data/chars/Q/idle09.gif
offset	29 133
	frame         data/chars/Q/idle10.gif
offset	28 134
	frame         data/chars/Q/idle11.gif
offset	29 133
	frame         data/chars/Q/idle10.gif
offset	30 133
	frame         data/chars/Q/idle09.gif
offset	31 133
	frame         data/chars/Q/idle08.gif
offset	33 133
	frame         data/chars/Q/idle07.gif
offset	34 134
	frame         data/chars/Q/idle06.gif
offset	34 134
	frame         data/chars/Q/idle05.gif
offset	36 133
	frame         data/chars/Q/idle04.gif
offset	38 133
	frame         data/chars/Q/idle03.gif
offset	33 132
	frame         data/chars/Q/idle02.gif
offset	30 132
	frame         data/chars/Q/idle01.gif




anim walk
	loop	1
	offset	35 130
	bbox	17 12 39 111
	delay	8
	frame         data/chars/Q/wk00.gif
offset        27 132
                  bbox           12 11 36 100
                  frame         data/chars/Q/wk01.gif
offset        26 133
                  frame         data/chars/Q/wk02.gif
offset        24 131
                  frame         data/chars/Q/wk03.gif
offset        25 129
                  frame          data/chars/Q/wk04.gif
offset        36 127
                  bbox           24 10 33 100
                  frame         data/chars/Q/wk05.gif
offset        45 125
                  bbox          29 8 32 104  
                  frame         data/chars/Q/wk06.gif
offset       42 126
                  frame          data/chars/Q/wk07.gif
offset        41 127
                  frame          data/chars/Q/wk08.gif
offset        45 129
                  frame         data/chars/Q/wk09.gif
offset        48 130
	bbox	29 14 32 102
                  frame         data/chars/Q/wk10.gif
offset        42 131
                  frame          data/chars/Q/wk11.gif
offset       36 129
                  bbox            19 10 31 105
                  frame          data/chars/Q/wk12.gif
offset        22 127
                  bbox           4 7 32 104 
                  frame          data/chars/Q/wk13.gif
offset        27 126
                  frame         data/chars/Q/wk14.gif
offset        36 125
                  bbox          18 7 32 104
                  frame         data/chars/Q/wk15.gif
offset        39 127 
                  bbox           16 11 40 97 
                  frame          data/chars/Q/wk16.gif
offset        39 128
                  frame          data/chars/Q/wk17.gif



anim pain
	loop	0
	offset	36 128
	bbox	6 3 66 110
	sound       data/sounds/qPAIN.wav
	delay	10
	frame         data/chars/Q/pain1.gif
offset	62 121
                  bbox         10 5 97 96
	frame         data/chars/Q/pain2.gif
offset	76 106
                  bbox         17 6 107 71
	frame         data/chars/Q/pain3.gif
offset	62 121
                  bbox         10 5 97 96
	frame         data/chars/Q/pain2.gif





anim fall
	loop	0
	offset	58 113
	delay	10
	frame         data/chars/Q/fall1.gif
offset	58 117
        frame         data/chars/Q/fall2.gif
offset	58 115
        ATTACK         12 15 71 37 10 1
	frame         data/chars/Q/fall3.gif
offset	58 113
        ATTACK         0 0 0 0 0 0
	frame         data/chars/Q/fall4.gif
offset	55 131
	frame         data/chars/Q/fall5.gif
offset	32 161
	frame         data/chars/Q/fall6.gif
offset	95 68
	frame         data/chars/Q/fall7.gif
offset	122 16
	frame         data/chars/Q/fall8.gif








anim rise
	loop	0
	offset	121 20
	delay	13
	frame         data/chars/Q/rise1.gif
offset	94 38
	frame         data/chars/Q/rise2.gif
offset	69 56
	frame         data/chars/Q/rise3.gif
offset	48 61
	frame         data/chars/Q/rise4.gif
offset	27 82
