#Kurosa by Kingherb, fixed by vicviper

name	Lt.Kurosawa
health	100
speed	10
type	player
shadow	4
icon	data/chars/Kurosa/icon.gif

diesound data/sounds/die3.wav

remap	data/chars/Kurosa/idle1.gif    data/chars/Kurosa/alter.gif


anim idle
	loop	1
	delay	100
	offset	104 182
	bbox	79 95 40 84
	frame   data/chars/Kurosa/idle1.gif
	frame   data/chars/Kurosa/idle1.gif
	delay	500
	delay	12
	frame   data/chars/Kurosa/idle2.gif
	frame   data/chars/Kurosa/idle3.gif
	frame   data/chars/Kurosa/idle4.gif
	frame   data/chars/Kurosa/idle3.gif
	frame   data/chars/Kurosa/idle2.gif
	frame   data/chars/Kurosa/idle5.gif
	frame   data/chars/Kurosa/idle6.gif
	frame   data/chars/Kurosa/idle5.gif
	
anim walk
	loop	1
	delay	5
	offset	104 182
	bbox	86 94 42 81
	frame   data/chars/Kurosa/walk1.gif
	frame   data/chars/Kurosa/walk2.gif
	frame   data/chars/Kurosa/walk3.gif
	frame   data/chars/Kurosa/walk4.gif
	frame   data/chars/Kurosa/walk5.gif
	frame   data/chars/Kurosa/walk6.gif
	frame   data/chars/Kurosa/walk7.gif
	frame   data/chars/Kurosa/walk8.gif
	frame   data/chars/Kurosa/walk9.gif
	frame   data/chars/Kurosa/walk10.gif
	frame   data/chars/Kurosa/walk11.gif
	frame   data/chars/Kurosa/walk12.gif

anim get
	loop	0
	delay	8
	offset	99 183
	sound   data/chars/Kurosa/sounds/get.wav
	frame   data/chars/Kurosa/get1.gif
	frame   data/chars/Kurosa/get1.gif
        delay   11
	frame   data/chars/Kurosa/get1.gif
        delay   5
	frame   data/chars/Kurosa/get1.gif

anim jump
	loop	0
	delay	7
	offset	92 179
	bbox	75 65 51 79
	frame   data/chars/Kurosa/jump1.gif
        offset  92 164
	frame   data/chars/Kurosa/jump2.gif
        offset  92 144
	frame   data/chars/Kurosa/jump3.gif
	frame   data/chars/Kurosa/jump4.gif
	frame   data/chars/Kurosa/jump5.gif
	frame   data/chars/Kurosa/jump6.gif
	delay	1
        offset  92 176
        frame   data/chars/Kurosa/jump7.gif

anim jumpattack
	loop	0
	offset	66 128
	delay	7
	bbox	50 66 42 54
        frame   data/chars/Kurosa/ak1.gif
        delay   20
        offset  66 127
        attack  74 82 72 39 12 1
        frame   data/chars/Kurosa/ak2.gif
        frame   data/chars/Kurosa/ak2.gif

anim jumpattack2
	loop	0
	offset	69 125
	delay	7
	bbox	56 56 33 61
        frame   data/chars/Kurosa/ap1.gif
        frame   data/chars/Kurosa/ap2.gif
        attack  76 55 47 63 10 
        frame   data/chars/Kurosa/ap3.gif
        frame   data/chars/Kurosa/ap3.gif
        frame   data/chars/Kurosa/ap3.gif
        attack  0 0 0 0 0 
        frame   data/chars/Kurosa/ap2.gif

anim attack1
	loop	0
	delay	3
	offset	104 182
	bbox	80 87 39 83
        frame   data/chars/Kurosa/a1-01.gif
        attack  108 85 60 35 10
        frame   data/chars/Kurosa/a1-02.gif
        frame   data/chars/Kurosa/a1-02.gif
        attack  0 0 0 0 0
        frame   data/chars/Kurosa/a1-01.gif
