# level3b
music		data/music/aliens.bor

# Load images
background	data/bgs/level3b/back.gif
panel		data/bgs/level3b/front.gif	
water		data/bgs/level3b/water.gif		2

# game over man game over!
order	a

spawn     fire
coords     0 240
at     0

spawn	Egg
item	apple
flip	1
health	35
coords	100 160
at	-3000

spawn	Egg
flip	1
health	35
coords	100 195
at	-3000

spawn	Egg
flip	1
health	35
coords	100 230
at	-3000

spawn	Egg
flip	1
health	35
coords	100 180
at	-3000

spawn	Egg
flip	1
health	35
coords	100 195
at	-3000

spawn	Egg
item	money
flip	1
health	35
coords	100 210
at	-3000

spawn	Egg
flip	1
health	35
coords	200 160
at	-3000

spawn	Egg
flip	1
health	35
coords	200 195
at	-3000

spawn	Egg
item	gold
flip	1
health	35
coords	200 230
at	-3000

spawn	Egg
item	meat
flip	1
health	35
coords	250 180
at	-3000

spawn	Egg
flip	1
health	35
coords	250 195
at	-3000

spawn	Egg
item	1up
flip	1
health	35
coords	250 210
at	-3000

spawn	Egg
flip	1
health	35
coords	300 160
at	-3000

spawn	Egg
item	money
flip	1
health	35
coords	300 195
at	-3000

spawn	Egg
item	gold
flip	1
health	35
coords	300 230
at	-3000

spawn	Egg
flip	1
health	35
coords	350 180
at	-3000

spawn	Egg
item	money
flip	1
health	35
coords	350 195
at	-3000

spawn	Egg
item	meat
flip	1
health	35
coords	350 210
at	-3000

spawn	1up
coords	200 180
at	40

spawn	wall
coords	40 160
at	0

spawn	wall
coords	40 180
at	0

spawn	wall
coords	40 200
at	0

spawn	wall
coords	40 220
at	0

spawn	wall
coords	40 240
at	0

spawn	wall
coords	40 260
at	0

spawn	Queen
coords	-150 200
Boss 1
at	0

group	2 3
at	0

spawn	Face_Hugger
map	1
coords	380 220
at	0

spawn	Face_Hugger
map	0
coords	380 220
at	0

spawn	Face_Hugger
map	0
coords	-30 220
at	0

spawn	Face_Hugger
map	0
coords	380 220
at	0

spawn	alien2
map	0
coords	-30 220
at	0

spawn	Chest_Buster
map	0
coords	380 220
at	0

spawn	Alien1
map	1
coords	380 220
at	0

spawn	Chest_Buster
map	0
coords	-30 220
at	0

spawn	Alien1
map	1
coords	-30 220
at	0

spawn	Alien2
map	0
coords	380 220
at	0

spawn	alien2
map	0
coords	380 220
at	0

spawn	Alien1
map	2
coords	-30 220
at	0

spawn	Alien1
map	0
coords	380 220
at	0

spawn	Chest_Buster
map	0
coords	-30 220
at	0

spawn	Alien1
map	0
coords	-30 220
at	0

spawn	Alien2
map	0
coords	380 220
at	0

spawn	alien2
map	0
coords	-30 220
at	0

spawn	Alien1
map	2
coords	380 220
at	0

spawn	Alien1
map	2
coords	380 220
at	0

spawn	Chest_Buster
map	0
coords	380 220
at	0

spawn	Alien1
map	0
coords	-30 220
at	0

spawn	Alien2
map	0
coords	380 220
at	0

spawn	alien2
map	0
coords	-30 220
at	0

spawn	Alien1
map	2
coords	-30 220
at	0

pawn	Face_Hugger
map	1
coords	380 220
at	0

spawn	Face_Hugger
map	0
coords	380 220
at	0

spawn	Face_Hugger
map	0
coords	-30 220
at	0

spawn	Face_Hugger
map	0
coords	380 220
at	0

spawn	alien2
map	0
coords	-30 220
at	0

spawn	Chest_Buster
map	0
coords	380 220
at	0

spawn	Alien1
map	1
coords	380 220
at	0

spawn	Chest_Buster
map	0
coords	-30 220
at	0

spawn	Alien1
map	1
coords	-30 220
at	0

spawn	Alien2
map	0
coords	380 220
at	0

spawn	alien2
map	0
coords	380 220
at	0

spawn	Alien1
map	2
coords	-30 220
at	0

spawn	Alien1
map	0
coords	380 220
at	0

spawn	Chest_Buster
map	0
coords	-30 220
at	0

spawn	Alien1
map	0
coords	-30 220
at	0

spawn	Alien2
map	0
coords	380 220
at	0

spawn	alien2
map	0
coords	-30 220
at	0

spawn	Alien1
map	2
coords	380 220
at	0

spawn	Alien1
map	2
coords	380 220
at	0

spawn	Chest_Buster
map	0
coords	380 220
at	0

spawn	Alien1
map	0
coords	-30 220
at	0

spawn	Alien2
map	0
coords	380 220
at	0

spawn	alien2
map	0
coords	-30 220
at	0

spawn	Alien1
map	2
coords	-30 220
at	0

pawn	Face_Hugger
map	1
coords	380 220
at	0

spawn	Face_Hugger
map	0
coords	380 220
at	0

spawn	Face_Hugger
map	0
coords	-30 220
at	0

spawn	Face_Hugger
map	0
coords	380 220
at	0

spawn	alien2
map	0
coords	-30 220
at	0

spawn	Chest_Buster
map	0
coords	380 220
at	0

spawn	Alien1
map	1
coords	380 220
at	0

spawn	Chest_Buster
map	0
coords	-30 220
at	0

spawn	Alien1
map	1
coords	-30 220
at	0

spawn	Alien2
map	0
coords	380 220
at	0

spawn	alien2
map	0
coords	380 220
at	0

spawn	Alien1
map	2
coords	-30 220
at	0

spawn	Alien1
map	0
coords	380 220
at	0

spawn	Chest_Buster
map	0
coords	-30 220
at	0

spawn	Alien1
map	0
coords	-30 220
at	0

spawn	Alien2
map	0
coords	380 220
at	0

spawn	alien2
map	0
coords	-30 220
at	0

spawn	Alien1
map	2
coords	380 220
at	0

spawn	Alien1
map	2
coords	380 220
at	0

spawn	Chest_Buster
map	0
coords	380 220
at	0

spawn	Alien1
map	0
coords	-30 220
at	0

spawn	Alien2
map	0
coords	380 220
at	0

spawn	alien2
map	0
coords	-30 220
at	0

spawn	Alien1
map	2
coords	-30 220
at	0
