name MineTank
health	20
speed 8
type	enemy
gfxshadow 1 3
antigrab 100
hostile player npc enemy
candamage player npc enemy

nodrop 2
death 1
nomove 1 1
nodieblink 2
aggression 200
offscreenkill 300




palette       data/chars/0nave/xz10pal1.gif
alternatepal  data/chars/0nave/xz10pal2.gif
alternatepal  data/chars/0nave/xz10pal3.gif















anim	death
	loop	0
	delay	7
	offset	78 108
	frame	data/chars/0nave/xz10.gif
		
anim	idle
	attack	29 61 103 47 20 9 0 0 0 0
	dropv	5 1
	loop	1
	delay	2
	move	5
	offset	78 108
	sound	data/sounds/carro.wav
	frame	data/chars/0nave/xz10.gif
	frame	data/chars/0nave/xz11.gif
	frame	data/chars/0nave/xz10.gif
	frame	data/chars/0nave/xz11.gif
	frame	data/chars/0nave/xz10.gif
	frame	data/chars/0nave/xz11.gif
		
anim	spawn
	attack	29 61 103 47 20 9 0 0 0 0
	dropv	5 1
	loop	1
	delay	2
	move	5
	offset	78 108
	sound	data/sounds/carro.wav
	frame	data/chars/0nave/xz10.gif
	frame	data/chars/0nave/xz11.gif
	frame	data/chars/0nave/xz10.gif
	frame	data/chars/0nave/xz11.gif
	frame	data/chars/0nave/xz10.gif
	frame	data/chars/0nave/xz11.gif
		
#|edited by openBor Stats v 0.51
		
