

name     Zebler
health	100
speed	10
type	player
shadow	4
icon	data/chars/Warior/icon.gif

diesound data/sounds/die3.wav

remap	data/chars/Warior/idle1.gif    data/chars/Warior/alter.gif


anim	attack1
	loop	0
	delay	3
	offset	95 178
	bbox	80 87 39 83
	frame	data/chars/Warior/a1-01.gif
	attack	119 80 91 62 8
	frame	data/chars/Warior/a1-02.gif
	frame	data/chars/Warior/a1-02.gif
	attack	0 0 0 0 0
	frame	data/chars/Warior/a1-01.gif
	frame	data/chars/Warior/a1-01.gif
		
anim	attack2
	loop	0
	delay	5
	offset	95 178
	bbox	81 108 39 69
	frame	data/chars/Warior/a2-01.gif
	frame	data/chars/Warior/a2-02.gif
	bbox	32 117
	attack	122 103 104 39 8
	frame	data/chars/Warior/a2-03.gif
	frame	data/chars/Warior/a2-03.gif
	frame	data/chars/Warior/a2-04.gif
	attack	0 0 0 0 0
	delay	4
	frame	data/chars/Warior/a2-05.gif
	frame	data/chars/Warior/a2-06.gif
	frame	data/chars/Warior/a2-07.gif
	attack	93 61 86 72 20 1
	frame	data/chars/Warior/a2-08.gif
	attack	0 0 0 0 0
	frame	data/chars/Warior/a2-09.gif
	frame	data/chars/Warior/a2-10.gif
	frame	data/chars/Warior/a2-11.gif
		
anim	attack3
	loop	0
	delay	3
	offset	95 178
	bbox	81 108 39 69
	frame	data/chars/Warior/a3-01.gif
	frame	data/chars/Warior/a3-02.gif
	bbox	32 117
	frame	data/chars/Warior/a3-03.gif
	frame	data/chars/Warior/a3-04.gif
	frame	data/chars/Warior/a3-05.gif
	blast	100 86 91 83 20 1
	frame	data/chars/Warior/a3-06.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Warior/a3-06.gif
	blast	106 94 85 85 20 1
	frame	data/chars/Warior/a3-07.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Warior/a3-07.gif
	blast	93 39 45 115 20 1
	offset	95 178
	frame	data/chars/Warior/a3-08.gif
	attack	0 0 0 0 0
	frame	data/chars/Warior/a3-09.gif
	frame	data/chars/Warior/a3-10.gif
		
anim	fall
	loop	0
	offset	90 170
	delay	20
	attack	70 87 56 61 17 1
	frame	data/chars/Warior/fall1.gif
	offset	88 134
	frame	data/chars/Warior/fall2.gif
	frame	data/chars/Warior/fall3.gif
	offset	93 124
	frame	data/chars/Warior/fall4.gif
	frame	data/chars/Warior/fall5.gif
		
anim	freespecial
	bbox	79 80 39 99
	loop	0
	delay	2
	offset	95 178
	sound	data/chars/Warior/sounds/shot.wav
	frame	data/chars/Warior/free1.gif
	frame	data/chars/Warior/free2.gif
	frame	data/chars/Warior/free3.gif
	frame	data/chars/Warior/free4.gif
	frame	data/chars/Warior/free5.gif
	attack	110 88 36 84 20 1 0 0 0 0
	bbox	78 77 40 100
	frame	data/chars/Warior/free6.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Warior/free7.gif
	attack	110 80 91 101 20 1
	frame	data/chars/Warior/free8.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Warior/free9.gif
	attack	67 35 112 58 20 1
	frame	data/chars/Warior/free10.gif
	attack	0 0 0 0 0 0
